Date,Time,Attendance,Gender_Demographic,Age_Demographic,Movie_Title,Genre,Producer,Distributor,Rotten_Tomatoes,IMDB,Metacritic,Certificate_Rating,Certificate_Body,Capacity,Video_System,Sound_System
2023-05-08,09:22:00,33,0.5,38.9,Raazi,Action,DreamWorks,Disney,78,7.8,73,Unrated,MPA,200,ABD,Audionic
2024-01-15,09:09:00,47,0.4,39.4,Batman Begins,Action,Universal,Universal,82,8.2,77,Unrated,MPA,100,ABD,Audionic
2024-12-05,09:10:00,46,0.1,37.0,Andaz Apna Apna,Action,LucasFilm ,Pixar ,82,8.2,77,TV-PG,MPA,200,ABD,Audionic
2024-05-07,09:44:00,44,0.7,33.9,Zombieland,Adventure,DreamWorks,Pixar ,76,7.6,71,A,MPA,200,ABD,Audionic
2024-01-23,10:09:00,31,0.1,23.1,Ondskan,Fantasy,Paramount,Universal,78,7.8,73,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-01-09,11:02:00,10,0.9,25.0,Das Boot,Adventure,20th Century Fox,Disney,83,8.3,78,PG-13,MPA,200,ABD,Audionic
2023-02-09,09:46:00,12,0.2,19.8,Naked,Fantasy,Universal,LucasFilm ,78,7.8,73,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-08-17,11:27:00,5,0.6,17.5,In a Lonely Place,Fantasy,Warner Bros.,Pixar ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2024-12-22,10:24:00,33,0.9,32.0,Fiddler on the Roof,Fantasy,DreamWorks,DreamWorks,80,8.0,75,Cetificate,AFI,100,Dolby Digital,Dolby Digital
2024-04-02,10:52:00,15,1.0,37.9,Paddington 2,Adventure,Disney,LucasFilm ,78,7.8,73,TV-PG,MPA,100,ABD,Audionic
2024-05-12,10:06:00,23,0.3,24.9,Amour,Fantasy,LucasFilm ,LucasFilm ,79,7.9,74,Unrated,MPA,100,ABD,Audionic
2023-07-21,10:35:00,44,0.4,29.0,Paper Moon,Drama,LucasFilm ,Universal,81,8.1,76,TV-PG,MPA,200,ABD,Audionic
2024-01-24,09:20:00,3,1.0,35.7,On the Waterfront,Drama,20th Century Fox,Universal,81,8.1,76,A,MPA,100,ABD,Audionic
2024-11-26,11:22:00,40,0.4,26.6,Funny Games,Drama,Pixar ,Warner Bros.,76,7.6,71,A,MPA,200,ABD,Audionic
2024-06-05,09:54:00,13,0.6,17.3,True Romance,Drama,Universal,Pixar ,79,7.9,74,PG-13,MPA,300,Dolby Digital,Dolby Digital
2023-06-22,11:29:00,38,1.0,33.9,Ex Machina,Fantasy,Warner Bros.,LucasFilm ,77,7.7,72,Unrated,MPA,200,ABD,Audionic
2023-02-21,10:39:00,49,0.0,21.1,The Blues Brothers,Action,Paramount,Disney,79,7.9,74,TV-PG,MPA,200,ABD,Audionic
